,pays,dispo_calories,dispo_proteines,population,pop_croissance,pib,politique,importation
0,Afrique du Sud,149.24,17.86,59893.885,1.279421200819443,14322.3,-0.72,304.0
1,Albanie,85.67,10.27,2842.321,0.8932439477929277,17261.0,0.11,47.0
2,Algérie,23.14,2.77,44903.225,1.459099203853721,13090.9,-0.74,0.0
3,Allemagne,60.85,7.69,83369.843,1.0222946488273932,62605.5,0.61,789.0
4,Angola,39.62,4.75,35588.987,2.1708461880893215,7407.1,-0.65,316.0
5,Antigua-et-Barbuda,258.92,31.07,93.763,1.2492572113783225,27757.2,0.94,7.0
6,Arabie saoudite,172.57,20.61,36408.82,1.689709055249847,51246.4,-0.36,551.0
7,Argentine,181.84,21.77,45510.318,1.2276603126765036,27127.4,-0.01,14.0
8,Arménie,70.07,8.36,2780.469,0.8775284257049736,19100.2,-0.8,40.0
9,Australie,185.62,22.15,26177.413,1.3764572472877352,59120.0,0.93,4.0
10,Autriche,71.88,8.95,8939.617,1.1159974223599538,65836.9,0.64,121.0
11,Azerbaïdjan,60.67,7.27,10358.074,1.2646700618057596,21031.5,-0.93,38.0
12,Bahamas,239.6,29.02,409.984,1.26143489203542,32895.0,0.88,22.0
13,Bahreïn,180.43,21.45,1472.233,2.0693647549624563,56646.6,-0.41,63.0
14,Bangladesh,6.66,0.73,171186.372,1.3250403559929995,7805.2,-1.09,0.0
15,Barbade,213.45,25.79,281.635,1.0641509576546246,16325.5,1.15,3.0
16,Belgique,60.49,7.37,11655.93,1.135574873131188,63431.0,0.58,309.0
17,Belize,114.07,13.73,405.272,1.6857815528730564,12407.0,0.43,0.0
18,Bolivie (État plurinational de),160.42,19.14,12224.11,1.4226229934027383,9565.3,-0.28,3.0
19,Bosnie-Herzégovine,82.13,9.87,3233.526,0.7736911242178807,19355.7,-0.44,15.0
20,Botswana,9.75,1.17,2630.296,1.5230566565430503,17334.9,1.08,5.0
21,Brésil,177.76,21.28,215313.498,1.2242505474951004,17874.3,-0.33,5.0
22,Bulgarie,80.24,9.38,6781.953,0.8375168921609877,32511.8,0.25,90.0
23,Burkina Faso,25.15,3.01,22673.762,1.9081019698241704,2448.1,-1.78,0.0
24,Burundi,2.48,0.3,12889.576,2.043480156425704,857.2,-1.19,0.0
25,Bélarus,133.01,15.83,9534.954,0.9296514214472933,26526.6,-0.79,16.0
26,Bénin,38.26,5.02,13352.864,1.9080908993868695,3697.6,-0.35,133.0
27,Cabo Verde,89.02,10.63,593.149,1.2943757896873112,7633.8,0.93,13.0
28,Cambodge,7.43,0.82,16767.842,1.3836176248207235,4860.5,-0.04,7.0
29,Cameroun,16.8,2.01,27914.536,1.849674461160299,4785.7,-1.35,2.0
30,Canada,153.72,18.75,38454.327,1.253265154255018,56716.4,0.77,206.0
31,Chili,144.18,17.58,19603.733,1.2769664975420796,29691.2,0.12,174.0
32,Chine - RAS de Hong-Kong,185.97,20.65,7488.865,1.1125609939988368,64166.7,0.61,305.0
33,Chine - RAS de Macao,196.81,22.46,695.168,1.6095726749032173,57203.4,1.13,32.0
34,Chypre,112.02,13.33,1251.488,1.3198050698295891,50232.2,0.42,18.0
35,Colombie,138.46,16.54,51874.024,1.3228062073482596,18732.7,-0.64,81.0
36,Comores,87.26,10.42,836.774,1.558940900741116,3445.1,-0.23,14.0
37,Congo,103.74,12.49,5970.424,1.9050309027035477,6272.3,-0.02,158.0
38,Costa Rica,121.71,14.58,5180.829,1.3019798235471363,24650.5,0.95,20.0
39,Croatie,71.98,9.01,4030.358,0.8860979405219467,39538.5,0.61,34.0
40,Côte d'Ivoire,9.26,1.11,28160.542,1.676255664545792,6699.9,-0.52,1.0
41,Danemark,69.74,8.13,5882.261,1.101411905468524,71224.3,0.87,99.0
42,Djibouti,15.15,1.81,1120.849,1.5105109880557872,6135.8,-0.51,4.0
43,Dominique,174.27,21.21,72.737,1.0642466274544229,15221.4,1.3,4.0
44,El Salvador,106.43,12.72,6336.392,1.0634238720533182,11103.5,-0.15,21.0
45,Espagne,119.16,14.68,47558.63,1.1673221097495534,45787.7,0.27,212.0
46,Estonie,94.65,9.08,1326.062,0.9493047705703508,43877.0,0.72,25.0
47,Eswatini,23.68,2.85,1201.67,1.1661083594696147,10170.9,-0.25,3.0
48,Fidji,141.15,16.71,929.766,1.116823962263471,12643.9,0.76,5.0
49,Finlande,90.52,10.93,5540.745,1.07042528615054,58634.4,0.89,24.0
51,Fédération de Russie,129.38,15.43,144713.314,0.985484508583921,38128.7,-0.92,52.0
52,Gabon,143.08,17.49,2388.992,1.876758829005409,19718.3,0.07,87.0
53,Gambie,76.98,9.15,2705.992,1.8823781476537333,2744.8,0.05,53.0
54,Ghana,35.96,4.34,33475.87,1.702263689988692,6616.1,-0.07,250.0
55,Grenade,185.89,22.72,125.438,1.1676036934991436,15136.3,1.04,8.0
56,Grèce,98.55,11.9,10384.971,0.9408288140658875,35328.8,0.06,82.0
57,Guatemala,111.52,13.25,17843.908,1.520455791437789,12424.8,-0.3,143.0
58,Guinée,17.38,2.1,13859.341,1.6623960488268694,3818.2,-0.86,72.0
59,Guinée-Bissau,11.11,1.33,2105.566,1.7106615027513528,2192.4,-0.39,3.0
60,Guyana,249.03,29.74,808.726,1.0654435604458725,37667.8,0.03,1.0
61,Géorgie,72.54,8.65,3744.385,0.8778977729385827,20612.2,-0.44,67.0
62,Haïti,37.36,4.49,11584.996,1.3857277764653462,3026.2,-1.41,106.0
63,Honduras,98.26,11.73,10432.86,1.5672661856994243,6440.4,-0.55,18.0
64,Hongrie,94.18,10.8,9967.308,0.9769902240283943,40683.9,0.64,93.0
65,Inde,13.21,1.57,1417173.173,1.3374180213742262,8568.6,-0.57,0.0
66,Indonésie,56.01,6.67,275501.339,1.2869539089297262,13495.5,-0.44,0.0
67,Iran (République islamique d'),92.86,11.09,88550.57,1.351001656389076,15499.9,-1.59,78.0
68,Iraq,62.19,7.42,44496.122,1.8066660662869551,13062.0,-2.47,470.0
69,Irlande,168.5,20.1,5023.109,1.3327608485121853,122596.0,0.88,110.0
70,Islande,116.64,14.01,372.899,1.324864457724311,64294.7,1.26,2.0
71,Israël,263.98,32.55,9038.309,1.4775823211472108,48318.9,-1.29,0.0
72,Italie,74.87,9.34,59037.474,1.0363561170982958,51941.2,0.41,142.0
73,Jamaïque,210.35,25.31,2827.377,1.0823717893503764,10114.0,0.38,21.0
74,Japon,108.68,12.86,123951.692,0.977507238521704,44913.8,1.07,1163.0
75,Jordanie,100.35,12.0,11285.869,2.232096640661496,9222.5,-0.3,56.0
76,Kazakhstan,83.0,9.91,19397.998,1.2731475383087953,34210.9,-0.36,172.0
77,Kenya,7.82,0.93,54027.487,1.7512050102027104,5513.9,-0.94,2.0
78,Kirghizistan,28.74,3.41,6630.623,1.3435417376704648,5991.5,-0.55,40.0
79,Kiribati,90.96,10.83,131.232,1.4774052642244389,2209.9,1.12,2.0
80,Koweït,199.06,23.73,4268.873,2.206248795157995,52164.4,0.28,163.0
81,Lesotho,3.87,0.46,2305.825,1.1537027864086897,2457.4,-0.13,1.0
82,Lettonie,111.89,13.2,1850.651,0.7735121398686745,38116.4,0.48,46.0
83,Libye,130.7,15.62,6812.341,1.3215554852865006,14777.6,-2.2,105.0
84,Libéria,48.83,5.9,5302.681,1.8315270251973592,1598.2,-0.29,54.0
85,Lituanie,100.02,12.01,2750.055,0.7639812014378116,47025.4,0.65,51.0
86,Luxembourg,78.27,9.2,647.599,1.486587179887427,137059.0,1.06,14.0
87,Macédoine du Nord,69.09,8.23,2093.599,1.0273134190671347,20403.3,0.12,37.0
88,Madagascar,13.3,1.37,29611.714,1.826031510879305,1664.6,-0.53,0.0
89,Malaisie,202.57,23.86,33938.221,1.4791021632022452,32735.4,0.14,177.0
90,Malawi,27.23,3.25,20405.317,1.8171354322368618,1703.6,-0.15,0.0
91,Maldives,83.45,9.89,523.787,1.85406733284485,21393.7,0.67,18.0
92,Mali,9.68,1.16,22593.59,2.0102666574488475,2413.0,-2.48,2.0
93,Malte,96.56,11.31,533.286,1.335846617837139,55727.7,0.91,10.0
94,Maroc,64.11,8.06,37457.971,1.3118101351402225,8599.8,-0.32,10.0
95,Maurice,172.45,20.53,1299.469,1.0687037905142565,24831.5,0.84,4.0
96,Mauritanie,29.4,3.53,4736.139,1.757378006629306,6207.1,-0.51,48.0
97,Mexique,145.98,17.57,127504.125,1.3027448753667006,21809.6,-0.69,1158.0
98,Micronésie (États fédérés de),141.62,17.13,114.164,1.021976743145136,3601.3,1.21,4.0
99,Mongolie,27.07,3.22,3398.366,1.3865341155513777,15469.8,0.53,24.0
100,Mozambique,22.38,2.66,32969.518,1.85550320637555,1462.6,-1.29,44.0
101,Myanmar,47.3,5.42,54179.306,1.1897516580097838,5308.8,-2.21,1.0
102,Namibie,36.49,4.31,2567.012,1.4111121677758898,11474.5,0.56,32.0
103,Nauru,177.22,21.2,12.668,1.2207767177411581,12164.9,0.88,1.0
104,Nicaragua,89.6,10.7,6948.392,1.3562543258910116,7032.0,-0.35,11.0
105,Niger,3.23,0.39,26207.977,2.2549025546206485,1652.7,-1.47,2.0
106,Nigéria,6.14,0.73,218541.212,1.7788985157944215,5670.0,-1.8,0.0
107,Norvège,80.95,9.83,5434.319,1.2099921134698461,88712.0,0.86,4.0
108,Nouvelle-Zélande,97.99,11.7,5185.288,1.344988387312315,49816.1,1.31,1.0
109,Népal,25.41,3.03,30547.58,1.2438192959954397,4632.8,-0.25,0.0
110,Oman,73.39,8.72,4576.298,1.9521348591640917,40114.0,0.53,105.0
111,Ouganda,5.5,0.66,47249.585,1.967036385330534,2728.5,-0.81,0.0
112,Ouzbékistan,22.07,2.64,34627.652,1.3892430234449353,8447.5,-0.2,72.0
113,Pakistan,31.74,3.79,235824.862,1.5276606730725604,5706.9,-1.9,0.0
114,Panama,191.16,22.88,4408.581,1.4686795718870211,33790.4,0.3,18.0
115,Papouasie-Nouvelle-Guinée,13.38,1.6,10142.619,1.8413348081993404,4141.2,-0.61,29.0
116,Paraguay,39.94,4.71,6780.744,1.3233769576950316,15198.2,0.04,1.0
117,Pays-Bas (Royaume des),52.19,6.21,17564.014,1.1047150678323066,69953.7,0.72,897.0
118,Philippines,59.64,7.1,115559.009,1.4823196906373817,9325.7,-0.71,360.0
119,Pologne,110.32,13.53,39857.145,1.0351313852683603,43661.5,0.5,78.0
120,Portugal,123.48,15.24,10270.865,0.9971107581228558,41240.4,0.86,94.0
121,Pérou,200.72,19.61,34049.588,1.2774453065772648,15102.6,-0.45,87.0
122,Qatar,226.29,26.96,2695.122,4.172422387941857,113157.0,0.96,149.0
123,Roumanie,85.01,9.93,19659.267,0.8968694439694823,39872.5,0.49,135.0
124,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,138.22,16.46,67508.936,1.147134862756175,55183.6,0.5,947.0
125,Rwanda,2.82,0.34,13776.698,1.6987320204749972,2859.8,0.03,4.0
126,République centrafricaine,8.77,1.06,5579.144,1.484142510181769,1039.3,-2.16,7.0
127,République de Corée,84.24,9.9,51815.81,1.1074454026623712,49977.0,0.56,224.0
128,République de Moldova,94.7,11.3,3272.996,0.7698317775562127,15229.5,-0.67,23.0
129,République dominicaine,139.31,16.65,11228.821,1.3147284601625306,22761.3,0.33,54.0
130,République démocratique du Congo,3.78,0.47,99010.212,2.0365634031882753,1432.9,-1.98,91.0
131,République démocratique populaire lao,24.76,2.84,7529.475,1.3864258524397548,8215.1,0.8,5.0
132,République-Unie de Tanzanie,5.91,0.7,65497.748,1.9004848695311451,3504.2,-0.27,9.0
133,Saint-Kitts-et-Nevis,231.09,27.81,47.657,1.0483051406700248,28725.5,0.94,3.0
134,Saint-Vincent-et-les Grenadines,351.71,42.9,103.948,0.9133227311467055,16504.0,1.04,10.0
135,Sainte-Lucie,244.78,29.69,179.857,1.127630094043887,23075.2,0.87,11.0
136,Samoa,279.07,33.53,222.382,1.2085452806399721,5689.0,1.08,17.0
137,Sao Tomé-et-Principe,55.59,6.63,227.38,1.5821701434794104,5599.7,0.61,2.0
138,Seychelles,158.79,18.91,107.118,1.3379715213589807,23409.6,0.76,4.0
139,Sierra Leone,21.25,2.5,8605.718,1.877310693757312,1644.0,-0.09,26.0
140,Slovaquie,46.52,5.62,5643.453,1.0496147257885429,38566.3,0.44,86.0
141,Slovénie,96.12,11.85,2119.844,1.0682872231004885,47558.3,0.71,25.0
142,Somalie,3.08,0.36,17597.511,2.017724201151985,1452.3,-2.48,10.0
143,Sri Lanka,39.39,4.71,21832.143,1.1627456125574,13172.1,-0.79,0.0
144,Suisse,68.06,8.18,8740.472,1.2169869392607329,83019.8,1.16,49.0
145,Suriname,173.37,20.49,618.04,1.2902767861243678,18741.7,0.4,18.0
146,Suède,63.8,7.62,10549.347,1.1891890277163577,64778.0,0.9,98.0
147,Sénégal,31.38,3.75,17316.449,1.7844122911863591,4330.6,-0.15,2.0
148,Tadjikistan,10.55,1.25,9952.787,1.5866077113367485,4310.9,-0.69,4.0
149,Tchad,1.8,0.21,17723.315,2.1459039848836503,1748.5,-1.48,3.0
150,Tchéquie,91.77,10.85,10493.986,1.025333008947005,48784.0,0.82,134.0
151,Thaïlande,43.44,5.0,71697.03,1.1368462322284902,20751.7,-0.38,2.0
152,Timor-Leste,20.63,2.46,1341.296,1.5270458581902637,5454.2,0.27,6.0
153,Togo,20.63,2.47,8848.699,1.7669003910715482,2769.2,-0.71,20.0
154,Trinité-et-Tobago,178.69,21.34,1531.044,1.149257282861546,27942.7,0.36,21.0
155,Tunisie,69.18,9.16,12356.117,1.248935847192185,12328.5,-0.6,2.0
156,Turquie,80.86,9.54,85341.241,1.3310952987829545,33061.1,-1.04,63.0
157,Tuvalu,160.48,19.15,11.312,1.1736874870305043,5066.3,1.18,0.0
158,Ukraine,87.03,10.33,39701.739,0.8122327740799847,14950.5,-2.0,79.0
159,Uruguay,90.58,10.78,3422.794,1.0396601203320308,30983.7,1.1,12.0
160,Vanuatu,61.51,7.33,326.74,1.701115195185189,3074.1,0.95,5.0
161,Viet Nam,58.54,6.68,98186.856,1.2428536286222291,13102.3,-0.03,270.0
162,Zambie,18.58,2.23,20017.675,2.0237993896757662,3610.7,0.1,57.0
163,Zimbabwe,27.11,3.24,16320.537,1.3790438369415436,3420.0,-0.88,5.0
164,Égypte,90.78,10.73,110990.103,1.555106780840738,16600.4,-1.03,20.0
165,Émirats arabes unis,208.4,24.93,9441.129,2.8824943906466918,73724.3,0.7,638.0
166,Équateur,108.6,12.99,18001.0,1.4256516073685304,13530.4,-0.24,1.0
167,États-Unis d'Amérique,198.23,24.52,338289.857,1.1979163923056066,71308.9,-0.04,191.0
168,Éthiopie,1.49,0.18,123379.924,1.8406159565867382,2698.6,-2.04,0.0
169,Îles Marshall,280.32,33.92,41.569,0.7666162584833285,6625.5,1.06,3.0
170,Îles Salomon,37.84,4.43,724.273,1.684441994706706,2480.3,0.38,7.0
